"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"imdb-646","21 October 2019","I have no idea why there are so many negative reviews. The story was almost identical to the animation from the nineties which is totally fine. The CGI was great. Loved it. Great to hear James Earl Jones' voice again. If there is a minor thing than it's Beyoncé's singing voice. But I just don't like Beyoncé. ;-)","
            6/10
            "
"sam_cornelissen","22 April 2020","The reviews in here are really negative. I have to agree that the voice acting is a bit flat from time to time. But I think most of the cast did a pretty good job.Beyonce was bad, her singing was way over the top and her emotions didn't fit Nala. But Donald, Seth, and Billy were all fine. Of course it cant be as good as the original, because that movie was a masterpiece. But for a remake it was above average.","
            10/10
            "
"Mark_H_Smit","1 April 2020","The new Lion King has a few moments of genius and the best animal animation that I've ever seen. But it is let down by pacing mistakes and sub par orchestration.The images in this movie are so gorgeous and the animal behavior (especially the facial expressions in the lions) so realistic, I hugely enjoyed the movie despite flaws that I feel could have been relatively easily avoided. It seems that this was a work of love for the animators but somehow the whole was off. Great to hear James Earl Jones again. Pumbaa and Timon were great. I loved the new Simba's hair scene. But why rush over the love scene and some other buildup moments that made the original so great.I also feel that Hans Zimmer missed the mark on the score. I find it wonderous how he succeeds in making an orchestra sound like a collection of electronic instruments. It's not super bad necessarily, but it doesn't match the original in warmth and depth. This soundtrack is nowhere near as good as some of Zimmer's other scores.Such a shame. The first-rate (did I say: awesome?) animation and some moments of wonder made this an above-average 8 for me. But with more love this could have so easily become a 9 or 10.","
            6/10
            "
"thepeven","18 November 2019","The movie was great, nice new jokes and scenes from the cartoon, the CGI great... But Beyonce's singing ruined it for me, I read other comments and I didn't think it would be that bad, it really was bad. Over did it","
            2/10
            "
"meshborg68","31 July 2019","The Disney Cartel will profit billions from this limp remake.Shameful profiteering.","
            10/10
            "
"persian-belle","19 July 2019","I watched this today in IMAX. It was just amazing! The sounds, the roars, the songs, and oh the beautiful animals.I forgot this was a Disney story. It actually felt like I was watching real animals in live action (hard to believe it's animated).The same meaningful, deep and emotional story as the original. However I found this new version to be more colourful (real and natural). There were also some new lines contributing to the deeper meaning of the story.I just find real lions and their roar majestic and noble. To me, it was well worth it. My family loved it. Can't wait for the DVD although it will never be the same as the theater experience.","
            6/10
            "
"welhof1","21 December 2021","I'm not a big Disney fan but I enjoyed this. It had some of the best CGI I've ever seen in a movie. I wondered if some of the footage was real. Pretty crazy. The singing felt cringy are times. It felt like it was forced and just didn't fit well with the movie. The cartoon seemed better in that respect. Anyway it was an entertaining movie. A little emotional in a few parts.","
            3/10
            "
"whiskeyjack-17223","28 July 2019","Visually beautiful. & thank god for James Earl Jones as Mufasa. Other than that just BLAH!! Acting was flat & didnt even hold a candle to original!!! BUT THE WORST was Beyonce!!! Way too much of Nala & Beyonce's stupid singing!!!","
            7/10
            "
"Kirpianuscus","17 June 2020","It is only a demonstration of special effects. And nothing more. Easy solutions, a film seeming more as sketch of story, all correct but not having a bit of soul, impressive for technology but , unfortunately, its basic virtue remains the suggestion to see, again, the animation. Its sin - the unclear purpose of it. To remind ? To give few roles to good actors ? To propose something cool in its skin but not in its essence ? But, sure, times changed, new tastes, maybe, new expectations.","
            6/10
            "
"seshasai-tris","13 August 2022","When I saw the movie on a 90 feet imax screen. The images were so good spanning every inch of the screen and it took me a while to realise my jaw was dropped. As it let the fabulous CG and cinematography sink in, I realised the animals were not emoting as you'd like in an animated film. The film crew decided to go for realism vs showing more expressions. Nonetheless I loved it and the lack of facial expressions prevents me from rewatching the whole movie again expect for few scenes. But they won't stop your kids from rewatching I guess.","
            10/10
            "
"maidwell-45616","12 October 2019","This post is a direct response to the 1 star reviewers...
First off this is a scene for scene remake of the original 90s movie.. if you wanted something else then you are confused about the difference between remakes and reboots.
Secondly people seemed shocked that Disney are cashing in on their heritage, that's what they've done since (ironically) the original lion king.. do you not remember the truly woeful lion king 3? And all the cash ins since. This is not a new Hollywood concept people.As for the movie itself The CGI is nothing short of jaw-dropping, truly spectacular in every moment of the two hour run time.
Story and script wise it's almost word for word the same as the original (my favourite Disney cartoon).
The criticism about it being emotionless stems in part from the utterly life-like animals not having cartoon faces with over the top facial expressions, they are made to look completely real (except for the talking of course!) I loved seeing ""real"" animals on screen substituting for the now outdated 90s cartoon versions.
Yes there are some casting missteps, in particular Beyonce.. if you like her over-singing style then great but the delivery of her acting lines is incredibly wooden.
Is this movie a masterpiece? No, not even close as it plays it far too safe in copy and pasting the original but It's a faithful remake of a Disney classic using achingly beautiful imagery and that makes it so much better than 1 stars.","
            7/10
            "
"ariqakbar","15 October 2019","It's simple foundation if you want truly want enjoy this movie at it's best experience. stop thinking this one was a improve. Start this movie with thought that this is lion king. with that i think you'll be more enjoying this movie.yes with this impressive visual their sacrifice one of the most core values to the movie. The emotion, but i if you play attention enough their still put a detail in 'some' scene that replace that face emotion. you'll get it if you start with much clearers though.just watch dont compared it.","
            10/10
            "
"gfarrell0","28 July 2019","The live action version has great vfx. But the enjoyment and impact are stunted. It has high quality but just isn't as good as the cartoon.","
            6/10
            "
"markthomassintek","18 July 2019","REVIEW - THE LION KINGDisney are re making their films from animated using CGI to bring then to life.Jungle Book and Dumbo were recently given the magical Disney touch with varying degrees of success and failure.With the release of possibility Disneys most famous of films and definitely the most anticipated The Lion King hits cinemas on 19 July 19.I will admit I've never seen the original animated version so I can't compare but that may be a good thing because the original was loved so much by so many people.I have to admit I was pleasantly surprised and in awe of the CGI animals, unsure which were real and which were not.James Earl Jones reprises his role as king and the acting is exceptional.I'm so glad that they decided to keep this a musical as the original was because on this occasion it works and it works very well.A definite hit, a definate must see, one film to go to see either with your partner or with the children.Disneys biggest hit yet and well deserved.Rating 10 out of 10","
            1/10
            "
"megadethdragoncrimson","19 July 2019","I'm generally a big fan of Disney live action films but this film is so dreadfully boring it makes a root canal look exciting in comparison. Visually it's stunning, unfortunately there's no heart and soul behind the performances in the film. It's just a lazy line reading. Outside of Timon and Pumba, the cast feels as if they are going through the motions lacking the emotional punch that made the original film so iconic.Looks can be deceiving.
Lion king looks stunning unfortunately it's dreadfully boring and soulless.","
            8/10
            "
"reaseltbim","5 August 2019","This movie basically ruined every aspect of the original that i loved...
It ruined the Hyenas, it ruined Scar, it Ruined the comedy, it ruined Timon and Pumba.
Yes, this movie is basically a ""scene for scene"" remake of the original, it copies everything directly from the cartoon.
But they took out all the charm and all the humor that the original had, while not adding anything good.
All of the comedic elements of the first one are gone, the hyenas are not fun anymore, they are just cliche genetic villains with no personality.
Same goes for Scar, hes not intimidating or interesting anymore. He sounds tired and old. All of the wit the character had is gone.
The entire movie is like this. They removed all the little fun parts and all the humor and the little details that makes the original so iconic.
Even when timon and pumba try to do humor, it comes as soulless. They end up being annoying instead of charming. Specially pumba. He was very annoying.Sure the cgi might look great, but at what cost? They focused so much in making the animals look so realistic, that they forgot to add a soul to the characters. They forgot to add any of the humor of the original.
This is just a soulless cgi clone.","
            6/10
            "
"jmcgrathjmg","21 July 2019","What an amazing remake, on par with the original which will always hold a special place in my heart. Do not listen to anyone who gives this a bad review. It was fantastic hats off to all who worked on this movie.","
            2/10
            "
"med4526","12 October 2019","Amazing CGI, but clear lack of acting, emotion and color in the movie (both literally and metaphorically). It felt more like a documentary instead of an animated children's film.
Technology gets all the films's budget and effort nowadays... The result is just computer power demonstration... Not a movie... 😔","
            6/10
            "
"terry-46096","20 July 2019","The movie is adequate, that's not good enough for this live action though. Lion King is a masterpiece story that has been celebrated for years for its emotional and timeless value. This version falls really short. The voice acting is flat the tone is wrong and there is little to no emotion felt during a very slow boring few hours.The only highlight in my opinion is Seth Rohan and Billy Eisner. Past that? A very forgettable and hollow version of the story.Oh and Beyoncé over sings everything.","
            6/10
            "
"Darwinskid","20 August 2019","What is the point in remaking The Lion King when its still fresh in the minds of most of the population of the world? It's still relevant enough to where merchandise is still being sold and the original movie is played very often on television. What is the point in trying to make it appear photo-realistic when you will not get the same display of emotion that was seen in the original animation? Is Disney really in dire need of the money? They make billions almost every month off of movies, television, digital streaming, physical home media sales, toys, novels, comic books, theme parks, cruise lines, and video games as things already are. I understand that nostalgic value can equate to serious financial success and that there is something that does create a smirk when the magic of the original is recreated in a new way but the thing is the 1994 classic is still fondly remembered and has been seen by most of the youth of today so comparisons to said 1994 classic are going to happen in more ways than one and no matter how good the effects are and how well the performances it is really a near shot-for-shot retelling with nothing new to offer and will have more people re-watching the 2D animation over it. The people I saw it with couldn't help but point out what was missing and the general lack of emotion expressed from the characters, they all got a big laugh from Timon and Pumbaa who I will admit were pretty good but nowhere as charming as the original. The effects of course are great, many times I was surprised it was all computer generated, but as said earlier because they set out for photo realism the characters can only express their emotions to an extent and as such do not do enough justice for the lively voice work. It isn't bad, its just bland.","
            10/10
            "
"achyutaghosh","22 July 2019","""Nostalgia is a file that removes the rough edges from the good old days""- Doug LarsonFinding joy in nostalgia when it comes to movies is rather easy. The sense of growing up with characters, and having them influence the person that you may have become is such a strong sentiment. These memories cannot be taken away, and that is true for the Lion King remake.The 2019 Lion King version is impressive- the painstaking efforts that have gone into making the visual effects come alive are to be experienced. In 2019, going gaga over visuals effects is pretty much passe, but still The Lion King is downright astounding. The thing is that beyond the visuals, there is little else that it adds to the original, which in my humble opinion, was a seminal movie. The script, music, the voice acting, the traditional animation remains unparalleled till date.Replace traditional animation with modern live motion capture, and the 2019 version is a shot for shot remake of the 1994 original. All the animals assemble as Simba is born, and as he grows up with his best friend Nala, Mufasa explains to him the circle of life. Scar plots with the hyenas to kill Mufasa, and Simba is chased out of the Pride Lands. He meets Pumba and Timon and grows up with them leading a hakuna matata life, till Nala comes to get him back to his rightful place as king. Scar gets his comeuppance and Simba completes the circle of life when his newborn cub is presented to the assembled animals.Had it been a National Geographic special, there would have been no equal- please take that as a compliment, Lion King. However, even with a stellar voice cast with James Earl Jones reprising Mufasa 25 years on along with Donald Glover, Seth Rogen, Beyonce, John Oliver and Chiwetel Ejiofor, Elton John's all-time classic songs, the movie lacks the emotional impact that the original was able to create. Call it corporate greed, lack of creativity and artistry or just plain laziness- nostalgia notwithstanding, it brings nothing new to the table. Director Jon Favreau did a much better job with 2016's The Jungle Book, which, in my mind is one of the best live action remakes ever.But hey, whatever Disney touches these days turns to gold. The Lion King will might make a few billion for sure, and kids will surely enjoy this round too, but Simba's roar is decidedly low this time round.","
            6/10
            "
"jack_o_hasanov_imdb","28 August 2021","I watched this movie in the cinema. Was this movie necessary? There was no need for this movie. Nothing different in the movie, except the voiceovers. But it was very enjoyable to watch the movie in the cinema, so I won't make any bad comments.","
            8/10
            "
"rroelandskeim","10 October 2019","I was so pleasantly surprised with this version. I was looking forward to it, but I enjoyed it far more than I was expecting. I genuinely laughed at the new jokes and the fourth wall breaks. It was great fun!","
            6/10
            "
"mike_larosa","1 March 2020","Good movie, but my only dislike and I mean serious dislike is Beyoncé who plays Nala. Terrible actress/music artist or whatever you want to call her to play such a iconic character. Absolutely loved Seth Rogan as Pumba.","
            1/10
            "
"rdkssc","8 August 2019","It was the best Disney movie ever!!! Loved my childhood memories!!! I've seen it 3 times!!","
            8/10
            "
"stefanomoretta","22 August 2019","Same scenes and dialogs of the First One, so identic that you can predic what the caracter Is going to say.....if you watched the First One don't waist your Money.","
            6/10
            "
"gonthedon","7 August 2019","It takes everything good about the original and takes a dump on it. Same storyline but the presentation just ruins the movie. Good cg for sure but no emotion, heart or anything good about the animated movie.
If you wanna watch lion king, watch the original.","
            1/10
            "
"genya813","29 October 2019","Honestly i felt that it followed the old cartoon pretty well...while i havent seen the cartoon since i was a kid it felt like i knew the whole movie because it followed so nicely...only fault i had with the movie is i dont feel the song was meant for beyonce to sing","
            7/10
            "
"dhughes2","11 February 2020","I have just adored this story and animated movie since seeing it the first time in 1993, I loved it many times over, loved the music, the characters. I have watched the new version a few times, the artists are amazing, the cgi wonderful, but there is a disconnect. It lacks the soul of the animated version","
            7/10
            "
"CountVladDracula","19 July 2019","Where do I begin? First there seems to be no passion. No heart. Much like Beauty and The Beast and the Aladdin remake I almost think it's a conscious effort to be subpar so that people will appreciate the originals more.The animals are supposedly photo-realistic but they barely look like they're actually there. At times Simba looks like he's floating. the movements are stiff and wooden.Be Prepared sounds like a 1960s beat poem that is only sung for the last few minutes.Can you feel the Love Tonight is sung in daylight...It's kind of awful.","
            10/10
            "
"vitoriafnaf","22 July 2019","That's right, the movie lacks emotion. In the original you could see the love that was put into the entire thing, but this one? It clearly was all for the money. I knew that since the moment I saw the trailer, but whatever.
Animation: The sad thing is that, the major flaw in the fact that everything is CGI. The moviments and expressions of the characters are limited due to the realism they're trying to portrait. The original cartoon-ish style permitted the characters to have expressive moviments and expressions, but here, that's just not possible. I feel like they tried to exaggerate some of the characters moviments, but that turned out to give me some uncanny valley vibes. It would be better to make their faces more expressive and sacrifice part of the realism, really. That would feel way better.
And the colors? Oh, they're very realistic! That means boring. They could've played more with those to make the movie feel more alive.
The voice acting is... meh. Some of the voice acting was good, but the rest was forgettable. Especially the singing by Beyoncé. It just felt off-putting.
But what I want to say in the end is that, this movie is forgettable.","
            7/10
            "
"TheOneThatYouWanted","14 September 2020","Sort of meh. Below average to be frank. I am getting to the point where watching Disney films might have to be more optional than mandatory. This film is so freaking forgettable.","
            8/10
            "
"kamalbeeee","26 April 2020","Most suitable for kids and adults too...i saw with tamil audio and it was soo funny..","
            6/10
            "
"johnlcl","17 July 2019","You just can't help but admire the amount of work they have put into the visuals and the cinematography. I'm truely grateful that I'm living in this era to be able to watch such an amazing remake of the cartoon. The music was phenomenal. Beyoncé really brought Nala to live but the show stealers were Timon and Pumba. Go watch this movie with an open mind. Don't compare scene by scene to the original and you will be rewarded with a truely marvellous experience.","
            1/10
            "
"IPyaarCinema","9 February 2021","Review By Kamal KThe Lion King wasn't really one of my favorite movies growing up, but I enjoyed it as a kid and you can't deny the great animation and great voice acting that still holds up. It's definitely a movie millions remember fondly of, and appreciate till this day.The 2019 remake of The Lion King however, doesn't carry the magic the original had. I must admit the obvious, and say that the visuals are spectacular. All the animals throughout the film look amazingly detailed and will definitely amaze everyone watching it, but the visuals are also one of this film's flaws. Unlike the animated classic, Simba, Mufasa, Scar, and Nala are now real-life lions that fail to show any emotion... because they're real-life lions, and lions don't exactly tend to show any emotion at all really.The voice acting has it's ups and downs, the voice actors for Cub Simba, Mufasa, Zazu, Timon, and Pumba really steal the show. But other's like Older Simba, Nala, Scar, Rafiki are just kinda...there, and only serve to sing covers for the originals already great soundtrack. Chiwetel Ejiofor as Scar really tries his best and I appreciate his efforts, but his representation of Scar doesn't come close to Jeremy Irons. I don't blame him for this, since it's most likely that he had to work with the original film's script.This movie is great...if you want to watch something you've already seen before that is. The digital artists have done some amazing work here but it feels like it lacks the emotion and soul of the original animation. The sound track is okay with Beyonce shining as you'd expect but again you've heard the songs before, you've felt the emotions and you know what to expect throughout. If you want to watch a shot for shot remake of an already amazing movie, or you've lived under a rock and never seen the original then this is the movie for you. Unfortunately it doesn't do enough to stand out from the original, to which it will always be compared, and there's a feeling the studio just played this one that bit to safe.If Disney start to worry a little more for making new movies than remaking its old successes only With the purpose of making tons of money I will consider to have a little more appreciation for this greedy company, I am starting to think that disney is Like the villian of the movie.Honestly whatever you rated the first movie rate this one the same minus one. Ultimately it is bland and boring with a lot of the humour taken out of it, still no acknowledgement as far as I noticed to Hamlet or Kimba. The American actors, save for Jones who is Mufasa and Glover who did well with what was there, were the weakest part, Eichner especially. The non-Americans outshined their counterparts and gave their characters depth even though they had so few lines. Ultimately the movie is underwhelming, and I would have liked to have seen more African born actors playing roles rather than singers with limited range.It's strange to see the hyper realistic CGI of lion king, as far as content. The animation for the movie is astonishing, although making it as real as possible loses its emotional touch. And that's what makes the movie flat. The emotional moments are usually the most gripping moments but because of the hyper realism they're just THERE in the moment. You don't see the emotions displayed thru the characters......Other than that, the film's story and music are phenomenal, but the original Lion King had already made those.........This movie is very difficult to believe because it is not very realistic. If you're looking for great visuals, this is your movieOkyish movie!! watchable once","
            10/10
            "
"phoenixnethermoor","2 January 2020","The Lion King.... oof. The Lion King original was fantastic, a musical that had decent music, animation that was outstanding, drama, betrayal, romance and the greatest characters Disney have ever made! But the new Lion King is a word for word remake, different actors making the acting worse, CGI making it feel like we are in a computer (which is good) and the same action as the original. It's just that the original was so perfect that nobody wanted this to happen. But it was okay. If you have seen the original Lion King you know the action that is about to go down, and you are just waiting for the CGI. But those who haven't are waiting for a brand new story. There is mild threat and child's strong language but those aren't worrying. The only thing that is worrying is the acting. 8/10.","
            6/10
            "
"christinafisher-18669","13 May 2020","I don't see the reason for some of the 1 star reviews, however, I watched this after watching the Aladdin remake so maybe I kept my expectations low. The graphics are really nice. The acting, not so much. Nala and Simba were played better by the kid actors than Beyonce and Danny Glover (they're truly terrible, Beyonce particularly so). Rafiki, Timon and Pumba seem to fade to background characters in the remake. Scar isn't nearly as scary and ""cool"" and all the music sequences aren't as dramatic visually, I get it's not a cartoon but it doesn't need to be realistic, I mean there's talking animals sooo....","
            1/10
            "
"dmbelafan","4 August 2019","TLK is one of my favorite Disney classics, so while I didn't understand the need for a remake, I did look forward to seeing it with the full theatrical experience again. Boy was I wrong.The core failure of the movie is the inexplicable choice to go fully photo-realistic with the animation. There is zero, and I can't stress this enough, ZERO expression or emotion in the characters' faces. Sure, it's zoologically accurate, but why does that matter when your plot is a conniving lion plotting a political coup with another species?The voice acting was.....barely passable. Nothing remarkable, especially given the A-list names on the cast. Timon and Pumba were the high flyers here, and even they were a pale shade of the excellent originals. Classic musical numbers were either underwhelming or over-performed (looking at you, Beyoncé).All of this is made even more obvious by the fact that the movie is nearly a shot-for-shot, line-for-line copy of the original. Timon and Pumba had some clever self-aware lines that poked fun at that fact, but given how closely they mimicked the original, it's remarkable that the final product managed to come out so flat in comparison.I don't know what this means for Disney's other forthcoming live action re-releases. Aladdin wasn't up to snuff either, but had the energy and character to make up some lost ground. I've not yet seen the Dumbo remake, and want to look forward to Mulan, but if this is where they're setting the bar, I'll wait until they come to Netflix.","
            7/10
            "
"bobbyd61074","31 August 2019","Not only was this an outstanding movie, it's an experience. Seeing it is truly believing it. You will be wondering if certain scenes are CGI or did they use real animals? The script is true to the original (as far as I can remember) but the visuals are unparalleled.My only complaints were the casting. Sorry guys....Beyoncé is a generational talent but that talent ain't acting. Her performance felt wooden. Like it was being read not performed. And I get that Danny Glover seems to be the flavor of the month but he too seemed disinterested with the role. I'd have preferred two nobodies who were gifted voice actors. Let's be honest. NOBODY should see this because Beyoncé or Glover are in it. I'm not even an Elton John fan but when movie's signature song plays I couldn't help but feel let down with Beyoncé's lesser rendition. That said, at no time did this ruin the film.My son was not happy when he learned he was seeing this movie. He never connected with the original but he along with myself and wife loved this one. Great family entertainment.I hope those writing/reading these reviews keep in mind that this is a child's movie and in my opinion the ideal kind. One where the parents are entertained as well. If you're a non-parent and reviewing this and think it was bad or not as good as the animated original ....do me a favor...come back in ten or fifteen years and update your review. Bet when you watch it with your little one you'll understand the greatness of the movie. Appreciating the significance of the movie's message which every parent experiences as they face their mortality, while praying they've prepared their children to take the reigns in our own circle of life. It definitely had a powerful effect on me. Not sure I'd make that claim if I didn't see this with my son.We are all Mufasa. We are all Simba. And we all know and battled a Scar. I suspect your opinion of the movie will coincide with your current placement within the circle of life. Happy Viewing","
            7/10
            "
"omdawe","15 October 2019","The CGI looks amazing the story its just classic. Kids doing stupid stuff and sometimes stuff that impact their whole life, and finally redemption.
Ok now for some personal notes, i do not have kids and i do not think i saw the first Lion King since when it first came out, and i was not even thinking to watch this one as its a kids movie. So i had no expectations as i was never going to see it anyway. But i was blown away. the CGI was so good and as the movie progressed i did remember the animated movie and it did feel like a good remake.","
            9/10
            "
"grantpaulsen","19 July 2019","I left the theatre with one thought in my head, ""why?"" I fail to see why this was remade other than for money, because there is no sort personality or style of its own, and this remake doesn't offer any new kind of spin on this story, it's basically a shot for shot remake of a film that's already a classic. Why would I ever choose to watch this over the original? It's basically the same movie just without the personality and style of the original. With the photorealistic animals, you can't sympathize with any of them because they don't have any kind of expression, and therefore they can't express emotion. This just goes to show that there was a reason the film was animated in the first place. Also the original was a film that Disney didn't want to make at first, the artists were so passionate about this story that they started to make it anyways out of their own garage and no support from a studio, and yet they still crafted the greatest Disney film of all time. And now that same studio is using their story and milking it for money, because they know how popular it is, which is kind of slimey in my opinion. I can't give it a 0.5/5 because the visuals are spectacular, but none of the changes made to this film were for the better, and nothing of their own was added really. The only difference between this film and the original is that some scenes were shortened and some were drawn out, and all those scenes were terribly executed. So I ask again, when you're remaking something that you know you can't improve, and something that you're not going to change or add your own spin on, then why? Why remake it? It's already a classic, you're just redoing what is already perfect, but you're doing it without the passion, personality, and perfect execution. So, the only reason I can think of is, money.","
            7/10
            "
"Special-K88","30 July 2019","Not so much a live-action remake, but more of a photorealistic, CGI makeover of the animated feature about a lion cub born into royalty. Simba, the only son of King Mufasa and Queen Sarabi, lives peacefully in the Pride Lands but is a bit too eager to prove his courage and ability to rule. Unfortunately for Simba his embittered Uncle Scar won't genuflect, and will stop at nothing to take the throne. If you're capable of viewing this as a stand-alone feature (which isn't easy) then you can probably find some things to like about it...but--and it's simply unavoidable no matter how hard you try--when comparing it to the 1994 original it lacks the thrill, humor, and sheer emotional punch, despite some impressive visuals and a colorful assortment of vocal talents, including Jones whose reprise provides some much needed authority, along with Rogen and Eichner who seem perfectly cast. Unfortunately the spoken lines don't mesh well with the use of ""live"" animals, and the music doesn't resonate as well as it should. Despite any homages, in-jokes, or straight up replicas from the original film, the magic just isn't there; much of the time it feels like watching a leaden Animal Planet documentary. **","
            8/10
            "
"bob-the-movie-man","2 August 2019","After Dumbo earlier this year, now here is The Lion King: the live-action version of the prize coronation mug sitting on Disney's shelf of trinkets.I mentioned in my review of ""Toy Story 4"" that in comparing it with TS1, it ably demonstrated that Moore's Law of computing power must still be at least holding reasonably true. Here is another case in point. Technically, this is nothing short of astonishing. It's almost impossible to believe that what you are seeing is computer animated. Every mouse, lion and cheetah so vibrantly and perfectly visualised. That first sight of Simba draws an audible ""Awwww"" from the audience.The pièce de résistance of the film is the first 4 minutes, reproducing with ""live"" animals the ""tribute scene"" to the young Simba. It's visually and aurally gorgeous in every way, and worth seeing the film for in its own right.In ""Dumbo"", an OBVIOUS error is that ONLY mice and crows can talk to elephants - not humans! So here, it is distinctly unsettling that 'real life' animals can speak and sing. It's also inevitable that the animation of eyes and mouth, present in the original version, saps the scenes somewhat of emotion.I'd heard this mantra repeatedly in the critic reviews I'd seen, so was honestly bracing myself for the worst. In reality, it had less of an impact than I was expecting it to, and although never moved to tears at any point, the scenes that were supposed to be moving... were.As with the recent ""Aladdin"" remake, I found many of the songs distinctly underwhelming. ""I just can't wait to be king"" lacked the energy and verve of the original, and Chiwetel Ejiofor went the ""full Rex Harrison"" on ""Be Prepared"". So much so that the term ""song"" might be a misnomer.Above all ""Can you Feel the Love Tonight?"" was one of Elton John and Tim Rice's most beautiful songs from the original soundtrack. Yet, although not savaged by Donald Glover and Beyoncé (playing Simba and Nala), they at the very least give it a good mauling.The score by Hans Zimmer is lusciously produced. There is a new song added as ""Best-Song"" fodder for the upcoming Oscar nominations. This is ""Spirit"" by Beyoncé, although it failed to stir mine in any way. But the best new song on the soundtrack for me was Elton John's offering - ""Never Too Late"" - during the end titles. Complete with African instruments and vocals, it is both cracking and very stirring.As indeed happened in the original movie, the introduction of Timon and Pumbaa adds some much needed energy and humour. Played by Billy Eichner and Seth Rogen respectively, director Jon Favreau encouraged the pair to ad lib many of their scenes. And it shows. There's a lot more fun to be had in there than all Will Smith's genie scenes in ""Aladdin"". In particular, the famous ""breaking the fourth wall"" moment in ""Hakuna Matata"" I found priceless, and made me howl with laughter.Elsewhere vocally, James Earl Jones is back as Mufasa and in so doing makes you concious that there is noone in the world who could perform that role better. The best performance of the rest of the cast, for me, came from ""Black Panther's"" Florence Kasumba as the leader of the hyena pack, Shenzi. She venomously spits her lines our quite wonderfully.TV pundit John Oliver is an interesting choice as Zazu, but didn't nail it for me. I personally missed Rowan Atkinson in that part. Likewise, comparison between Chiwetel Ejiofor and Jeremy Irons as Scar is hardly fair. I'd rate Irons as one of the top 5 vocal performances of any Disney film of all time.For me, the word that keeps floating to the top of these live action remakes is ""pointless"". Why try, other than to fill Disney coffers? (Which I guess is the producer's point!) And my opinion hasn't changed after this. I still think its a rather pointless exercise, particularly in this case where there is no human cast.With these things, I always think of Jim Carrey's cry at the end of his version of ""I am the Walrus"". He screams ""There, I did it. I defiled a timeless piece of art"". Jon Favreau can at least sleep happy (sic) in his bed content that he hasn't managed to do that. I can't say I was horrified by this one, because I wasn't. It was majestic, entertaining, technically superb and certainly had its moments.The acid test for me would be ""would I go and see that again"". And in this case the answer would be ""yes"".(For the full graphical review, please check out One Mann's Movies via Google or Facebook. Thanks.)","
            6/10
            "
"gokselll","14 August 2019","The first movie released in 1994 is the first movie I've seen in theater and therefore it is placed in a special part of my heart and memory.Unfortunately, the new one is far away from the first one's magnificence; though ironically the new version has opportunities of contemporary improved technical equipments comparing to 1994's conditions of cinema-animation.In this new movie;the story is scened by a weak plot and it has lack of profoundness,events aren't feeded by powerful characters; even the leading onesand, as many viewers mentioned, the movie fails to make feel needed emotional atmopshere adequately.There are entertaining scenes, wonderful musics and qualified animated visual narration.Worth to be seen despite all.","
            4/10
            "
"fischerkyle","21 July 2019","AMAZING. What's with all the negative reviews? I LOVED IT. The humor is their. The animation is incredible. The movie is great.","
            10/10
            "
"lengjing","15 April 2020","I don't see the problem, OF COURSE IT WON'T BE THE SAME, like that's the whole point!
It was great!","
            6/10
            "
"vengeance20","20 July 2019","Having not seen the 1994 original (cos I was born in the year the film was released), I went to see this due to the hype.I must say it was pretty good! With the enhanced visuals & different actors this film was a good watch!The fact that it isn't a cartoon & a live action type film is refreshing! I also think it is great that the film being remade is so that young people of this generation can experience the great story!This film is pretty good! Give it a watch! 8/10","
            1/10
            "
"theromanempire-1","5 August 2019","Here is the thing about Disney. to make more $$$ they decided to make live action remakes to their classic animation films.
now that's a brilliant idea if we talking about films like.....snowhite, maleficent, alladin, cinderella etc..etc......but not such a good idea if we talk about LION KING.
and the reason is we had an animation film...we have again a new animation remake. not a real live action film in the sense we have no real actors like we do with cinderella and the rest of the live action films.
that's cause we are dealing with animals this time so what's the need for A Useless remake ?
combined with the fact the original and best film and even it's sequel were far better than this remake in all aspects then if u need to watch lion king watch the earlier animation films again and ignore this useless remake which don't even have half the heart the originals had.
soundtrack was also bad compared to the 1994 score.Grade // C+","
            7/10
            "
